iter	RMSE
182	4.835519569
183	4.831258073
184	4.829413868
185	4.824067158
186	4.820607703
187	4.818379533
188	4.814850625
189	4.81074075
190	4.808662924
191	4.804404361
192	4.799921504
193	4.795857479
194	4.791696113
195	4.787643917
196	4.784800066
197	4.782454912
198	4.778030546
199	4.775688821
200	4.769835021
201	4.763640538
202	4.76180787
203	4.760758912
204	4.755195952
205	4.750496369
206	4.747553747
207	4.743791158
208	4.74104261
209	4.736882325
210	4.733235489
211	4.727997873
212	4.72453499
213	4.718735966
214	4.715721278
215	4.709093775
216	4.706160204
217	4.704190055
218	4.697880398
219	4.69274717
220	4.690056293
221	4.687926634
222	4.686191496
223	4.678927886
224	4.673870883
225	4.671381761
226	4.668430819
227	4.667240951
228	4.664056519
229	4.662755917
230	4.659488575
231	4.656965777
232	4.655537729
233	4.653305599
234	4.65048603
235	4.644366386
236	4.638395259
237	4.63361998
238	4.630666198
239	4.627623212
240	4.624471688
241	4.619481104
242	4.618209732
243	4.617382234
244	4.611870367
245	4.6094896
246	4.607010857
247	4.604709432
248	4.603716007
249	4.602020523
250	4.600878597
251	4.597179203
252	4.590986848
253	4.587366831
254	4.58517567
255	4.58234388
256	4.577160435
257	4.574070733
258	4.567758577
259	4.565043561
260	4.56261104
261	4.558721876
262	4.55460459
263	4.553270539
264	4.55225885
265	4.549907089
266	4.546225837
267	4.537824362
268	4.532445925
269	4.53039727
270	4.529100602
271	4.524807021
272	4.52199982
273	4.519073382
274	4.517964295
275	4.517726611
276	4.514207502
277	4.513948002
278	4.512286377
279	4.509996882
280	4.507665695
281	4.499843709
282	4.498936456
283	4.496645264
284	4.489998297
285	4.484178741
286	4.480934249
287	4.478281341
288	4.477187255
289	4.476974339
290	4.47167557
291	4.468155904
292	4.462306372
293	4.460301955
294	4.458985102
295	4.456310851
296	4.454841847
297	4.45048616
298	4.449897053
299	4.445103012
300	4.442475681
301	4.43876546
302	4.435495572
303	4.42936444
304	4.427427768
305	4.421503108
306	4.419926226
307	4.414347438
308	4.412286377
309	4.410727473
310	4.407987006
311	4.405700455
312	4.401164584
313	4.398309371
314	4.396849477
315	4.393369806
316	4.387126121
317	4.381447966
318	4.378921555
319	4.377670555
320	4.372102686
321	4.365881844
322	4.362199699
323	4.360459961
324	4.35563329
325	4.353419626
326	4.352080557
327	4.34880299
328	4.345396527
329	4.342521442
330	4.33924053
331	4.336182697
332	4.333716129
333	4.328308403
334	4.32118586
335	4.318661254
336	4.31671804
337	4.31130899
338	4.304503106
339	4.299763282
340	4.29915059
341	4.297378041
342	4.29531526
343	4.29281592
344	4.292654779
345	4.289647456
346	4.288122187
347	4.287585193
348	4.284056825
349	4.278568349
350	4.276033674
351	4.270778819
352	4.26500266
353	4.262656623
354	4.258591812
355	4.255147828
356	4.2534194
357	4.251051505
358	4.247881932
359	4.24755031
360	4.245910314
361	4.243478064
362	4.240154369
363	4.23768364
364	4.236180181
365	4.233801656
366	4.232560401
367	4.227554951
368	4.224233528
369	4.222128149
370	4.219250963
371	4.216343155
372	4.214926982
373	4.212909967
374	4.207682669
375	4.202882208
376	4.20274646
377	4.201276151
378	4.200358059
379	4.198780919
380	4.195951985
381	4.194609183
382	4.190646333
383	4.185785134
384	4.185640572
385	4.183256078
386	4.181305144
387	4.177430791
388	4.173082549
389	4.172284598
390	4.167914164
391	4.166772392
392	4.163052683
393	4.160559238
394	4.158042649
395	4.155844835
396	4.153318212
397	4.150782437
398	4.147313852
399	4.146145304
400	4.140819539
401	4.139215243
402	4.13776369
403	4.135737062
404	4.132448778
405	4.12957963
406	4.12798574
407	4.127199648
408	4.124902622
409	4.122232281
410	4.119322102
411	4.117746167
412	4.115613769
413	4.113351726
414	4.111309609
415	4.110661413
416	4.106527555
417	4.105339197
418	4.105005236
419	4.10058589
420	4.100441394
421	4.098766956
422	4.09595332
423	4.092757264
424	4.091031706
425	4.088264874
426	4.085875746
427	4.082426696
428	4.078817859
429	4.076306958
430	4.072440276
431	4.070268153
432	4.068421273
433	4.06563852
434	4.06514618
435	4.064674377
436	4.063473179
437	4.060476469
438	4.058558844
439	4.057527705
440	4.052869912
441	4.050667935
442	4.048468962
443	4.047904177
444	4.047055
445	4.044245766
446	4.041716237
447	4.039445107
448	4.03739417
449	4.034751698
450	4.032482958
451	4.03107742
452	4.027227241
453	4.023049236
454	4.020422233
455	4.018176914
456	4.016973138
457	4.016527161
458	4.014064375
459	4.011818348
460	4.009737976
461	4.005634085
462	4.003828257
463	4.002270603
464	3.999241712
465	3.996693887
466	3.992732216
467	3.989895371
468	3.986314119
469	3.984040112
470	3.982176236
471	3.979937601
472	3.975807151
473	3.973289787
474	3.970998604
475	3.968619675
476	3.968288189
477	3.965796711
478	3.961365162
479	3.959595221
480	3.956199831
481	3.95410467
482	3.952787745
483	3.949042714
484	3.948334109
485	3.946701486
486	3.943206751
487	3.939020946
488	3.936730218
489	3.936613094
490	3.934709501
491	3.931497493
492	3.928352539
493	3.924336173
494	3.922556624
495	3.920332274
496	3.919417246
497	3.916586907
498	3.914250043
499	3.90984927
500	3.906725921
501	3.903649723
502	3.900363794
503	3.898160451
504	3.896429996
505	3.893883661
506	3.891880879
507	3.888741302
508	3.884738455
509	3.883344679
510	3.882716168
511	3.879766889
512	3.87566632
513	3.873315479
514	3.872964735
515	3.868320644
516	3.867215527
517	3.866610071
518	3.866248789
519	3.86486572
520	3.861922072
521	3.859158583
522	3.856183904
523	3.851513879
524	3.849152782
525	3.845007294
526	3.844322105
527	3.842034829
528	3.839996128
529	3.839238355
530	3.837052135
531	3.83469418
532	3.830571235
533	3.829551264
534	3.827933057
535	3.826641278
536	3.823358579
537	3.821397472
538	3.81962692
539	3.817743739
540	3.816307601
541	3.81272746
542	3.810329737
543	3.808767154
544	3.807470379
545	3.805988811
546	3.803811091
547	3.802484708
548	3.800259745
549	3.796317204
550	3.795088415
551	3.793616922
552	3.791962353
553	3.788084878
554	3.784458504
555	3.783122755
556	3.780689408
557	3.776631303
558	3.772781411
559	3.771709432
560	3.770872852
561	3.767833112
562	3.767721996
563	3.763040699
564	3.760272948
565	3.757729233
566	3.755951915
567	3.755843316
568	3.754325224
569	3.752461618
570	3.750668433
571	3.750296695
572	3.749413
573	3.745835225
574	3.744452354
575	3.742256694
576	3.741248957
577	3.740597936
578	3.73845294
579	3.737413393
580	3.734478343
581	3.732518883
582	3.732226429
583	3.732080879
584	3.730346388
585	3.727472389
586	3.726369967
587	3.723296525
588	3.723129646
589	3.720373174
590	3.718862904
591	3.716756785
592	3.715003012
593	3.713080259
594	3.709979527
595	3.709450871
596	3.706932048
597	3.702414368
598	3.701833378
599	3.69973735
600	3.699214636
601	3.698048985
602	3.695141625
603	3.691772791
604	3.691425511
605	3.690782294
606	3.688634386
607	3.688430134
608	3.688309245
609	3.687743818
610	3.684824192
611	3.682198064
612	3.682105633
613	3.678566019
614	3.676319894
615	3.672820621
616	3.67230636
617	3.670637594
618	3.668948337
619	3.6673866
620	3.665382317
621	3.664669121
622	3.661775206
623	3.659602135
624	3.654569002
625	3.652142238
626	3.648548785
627	3.644738095
628	3.640436836
629	3.64013913
630	3.636537034
631	3.635196415
632	3.632973795
633	3.630426238
634	3.627585317
635	3.626609101
636	3.623924257
637	3.62332419
638	3.622948992
639	3.621117997
640	3.619701249
641	3.619613522
642	3.613647623
643	3.611160832
644	3.609294098
645	3.608473985
646	3.605991573
647	3.60450645
648	3.602486717
649	3.600326657
650	3.598384399
651	3.596727774
652	3.594713873
653	3.593683556
654	3.592269096
655	3.58939571
656	3.58816329
657	3.585442192
658	3.584929651
659	3.581482133
660	3.580379364
661	3.577007533
662	3.575383718
663	3.574033407
664	3.571710158
665	3.570513634
666	3.567190588
667	3.564077146
668	3.562517936
669	3.560667699
670	3.558653332
671	3.558459299
672	3.557144536
673	3.552930799
674	3.551104749
675	3.550574033
676	3.550224039
677	3.545288179
678	3.543501263
679	3.541727132
680	3.537721858
681	3.536256972
682	3.53277217
683	3.530505477
684	3.525438448
685	3.524032665
686	3.520812493
687	3.519273955
688	3.51600659
689	3.514621758
690	3.511856841
691	3.510686595
692	3.508721371
693	3.507687638
694	3.505552035
695	3.503929129
696	3.500504381
697	3.49734576
698	3.496631373
699	3.495620112
700	3.492131994
701	3.491400503
702	3.490611912
703	3.489316828
704	3.487951924
705	3.486637851
706	3.483007922
707	3.481161594
708	3.480752267
709	3.479444772
710	3.47851622
711	3.476904593
712	3.47658776
713	3.476047848
714	3.475677842
715	3.473270782
716	3.47297862
717	3.47041961
718	3.467293073
719	3.466680428
720	3.462717276
721	3.461324245
722	3.457786084
723	3.457256862
724	3.455322323
725	3.454413625
726	3.45174682
727	3.449033991
728	3.445770099
729	3.443999165
730	3.443490851
731	3.442110525
732	3.441919661
733	3.441540831
734	3.439000646
735	3.438335448
736	3.438145534
737	3.436520764
738	3.435334193
739	3.432693699
740	3.432396795
741	3.431232504
742	3.431022992
743	3.428859196
744	3.426982196
745	3.425996127
746	3.423764018
747	3.422513275
748	3.422284336
749	3.420550152
750	3.420105258
751	3.418563346
752	3.41708716
753	3.414075511
754	3.413789481
755	3.413655583
756	3.413585513
757	3.412144175
758	3.409054955
759	3.40687205
760	3.404382947
761	3.401650029
762	3.398569097
763	3.396469457
764	3.393737648
765	3.391504892
766	3.391345367
767	3.390054576
768	3.389988751
769	3.387011368
770	3.385303157
771	3.383251117
772	3.381564742
773	3.379964768
774	3.379833285
775	3.379267785
776	3.377452439
777	3.376610338
778	3.373402854
779	3.372341442
780	3.369846465
781	3.368956559
782	3.368788201
783	3.367405844
784	3.363129609
785	3.362869744
786	3.361780742
787	3.360156668
788	3.35819095
789	3.355624613
790	3.354718876
791	3.353495656
792	3.351988805
793	3.350352429
794	3.348584303
795	3.347910132
796	3.347558218
797	3.345518357
798	3.34400863
799	3.342674313
800	3.342614678
801	3.342381722
802	3.341398336
803	3.340866231
804	3.339522571
805	3.337612016
806	3.336542326
807	3.335274755
808	3.334675738
809	3.333938546
810	3.332873322
811	3.329700038
812	3.329090842
813	3.328116026
814	3.325515765
815	3.324136511
816	3.323070607
817	3.322145091
818	3.322042152
819	3.320803786
820	3.31844383
821	3.317025418
822	3.316773613
823	3.316410892
824	3.314757253
825	3.313456439
826	3.310261276
827	3.308501698
828	3.307441255
829	3.304336529
830	3.302407514
831	3.299782874
832	3.299680769
833	3.297327673
834	3.29616541
835	3.295541374
836	3.292666203
837	3.291545316
838	3.29028137
839	3.290106582
840	3.289873635
841	3.286629221
842	3.285741294
843	3.285034829
844	3.284456093
845	3.282197813
846	3.279757277
847	3.277606387
848	3.276318307
849	3.275775939
850	3.274796466
851	3.27441657
852	3.271432136
853	3.267273174
854	3.267174598
855	3.264936526
856	3.263228702
857	3.260940687
858	3.260084093
859	3.259950203
860	3.258990953
861	3.258383548
862	3.254916153
863	3.254712054
864	3.252062018
865	3.251330917
866	3.248887047
867	3.246689255
868	3.245084544
869	3.244855379
870	3.243302645
871	3.242479968
872	3.239667025
873	3.237388034
874	3.23594359
875	3.234378213
876	3.234135799
877	3.232982284
878	3.230988827
879	3.23065722
880	3.229361485
881	3.228056947
882	3.225074253
883	3.222317056
884	3.221520133
885	3.221162469
886	3.219333487
887	3.217930594
888	3.217285797
889	3.216880439
890	3.215198675
891	3.214579687
892	3.212849495
893	3.212004648
894	3.208913561
895	3.208511364
896	3.207153766
897	3.205658281
898	3.203922702
899	3.201375982
900	3.199002482
901	3.197590412
902	3.197153129
903	3.194413122
904	3.194268015
905	3.194158319
906	3.191775348
907	3.191144203
908	3.188932478
909	3.188656346
910	3.188495798
911	3.188303618
912	3.185613721
913	3.184700946
914	3.183901405
915	3.181439479
916	3.179082821
917	3.17736186
918	3.175992326
919	3.17520008
920	3.173804493
921	3.173351701
922	3.172107011
923	3.172088641
924	3.170577536
925	3.168289575
926	3.164988085
927	3.163810702
928	3.163622518
929	3.163363622
930	3.159078684
931	3.158005781
932	3.157602343
933	3.155390509
934	3.155206104
935	3.154829775
936	3.154672323
937	3.15463096
938	3.15382655
939	3.150794656
940	3.149150698
941	3.148710662
942	3.148390439
943	3.146208444
944	3.144829977
945	3.143980131
946	3.14307484
947	3.142913064
948	3.140719259
949	3.140438329
950	3.137839736
951	3.137771862
952	3.137212108
953	3.134352826
954	3.131406623
955	3.128926342
956	3.127709901
957	3.126441388
958	3.125874921
959	3.125773052
960	3.12388285
961	3.121435791
962	3.119131586
963	3.119043048
964	3.116250608
965	3.115576703
966	3.114430308
967	3.11276577
968	3.111051711
969	3.109458255
970	3.108016598
971	3.107391313
972	3.105999644
973	3.103806863
974	3.103089035
975	3.101542428
976	3.099162398
977	3.098747672
978	3.098254547
979	3.095675429
980	3.095565341
981	3.092920957
982	3.092193082
983	3.090068001
984	3.087825441
985	3.085075376
986	3.083474746
987	3.08335923
988	3.082681776
989	3.082286547
990	3.081494589
991	3.081420544
992	3.079305267
993	3.078003764
994	3.077071728
995	3.074932814
996	3.074508039
997	3.073756828
998	3.072589019
999	3.071468469
